16416;10090;3;25;06.01.19;70432;06.01.19;72491;2059;{"type":"Feature","geometry":{"type":"LineString","coordinates":[[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[47.374216,8.521081],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]]},"properties":{"name":"GeoJson"}}
16425;10068;4;21;06.01.19;21453;06.01.19;23440;1987;{"type":"Feature","geometry":{"type":"LineString","coordinates":[[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]]},"properties":{"name":"GeoJson"}}
16417;10090;3;25;06.01.19;72924;06.01.19;74812;1888;{"type":"Feature","geometry":{"type":"LineString","coordinates":[[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]]},"properties":{"name":"GeoJson"}}
16423;10068;4;13;06.01.19;18282;06.01.19;19323;1041;{"type":"Feature","geometry":{"type":"LineString","coordinates":[[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]]},"properties":{"name":"GeoJson"}}
16421;10090;3;1;06.01.19;80782;06.01.19;80933;151;{"type":"Feature","geometry":{"type":"LineString","coordinates":[[0,0]]},"properties":{"name":"GeoJson"}}
16428;10068;4;25;06.01.19;28329;06.01.19;30361;2032;{"type":"Feature","geometry":{"type":"LineString","coordinates":[[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[47.374216,8.521081],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]]},"properties":{"name":"GeoJson"}}
16426;10068;4;25;06.01.19;23819;06.01.19;25773;1954;{"type":"Feature","geometry":{"type":"LineString","coordinates":[[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[47.374216,8.521081],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]]},"properties":{"name":"GeoJson"}}
16429;10068;4;25;06.01.19;30475;06.01.19;32398;1923;{"type":"Feature","geometry":{"type":"LineString","coordinates":[[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]]},"properties":{"name":"GeoJson"}}
16431;10068;4;25;06.01.19;34981;06.01.19;36974;1993;{"type":"Feature","geometry":{"type":"LineString","coordinates":[[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]]},"properties":{"name":"GeoJson"}}
16413;10090;3;25;06.01.19;63302;06.01.19;65400;2098;{"type":"Feature","geometry":{"type":"LineString","coordinates":[[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0],[0,0]]},"properties":{"name":"GeoJson"}}
